Date,y,Dp,q,epepsus,epeps,r,lr,ys,Dps,qs,rs,lrs,rpoil,poil,p,ps,e,es,ep,eps,pus
1986Q3,4.295702674,0.003444826,-0.839821018,-0.113090021,-1.576634905,0.018756035,0.018851192,4.146362037,0.01222099,-0.768727721,0.024636719,0.019865878,-1.636268294,2.519039656,4.212147605,3.291667486,-0.056250367,0.599904419,-4.268397971,-2.691763067,4.15530795
1986Q4,4.30204822,0.00462425,-0.829538587,-0.142512068,-1.613027458,0.018543759,0.018798967,4.155826538,0.01911345,-0.756725604,0.02604819,0.020410762,-1.471533311,2.689433537,4.216771855,3.310780936,-0.086707061,0.620329477,-4.303478916,-2.690451458,4.160966848
1987Q1,4.295380126,0.008696753,-0.850547319,-0.213374166,-1.64966803,0.019194718,0.018638832,4.163902282,0.02457499,-0.639130545,0.033530212,0.019797698,-1.286817471,2.885173083,4.225468608,3.335355926,-0.159896112,0.599659236,-4.38536472,-2.735696689,4.171990554
1987Q2,4.312900093,0.007023639,-0.839290576,-0.223734833,-1.634114022,0.019361871,0.01938174,4.176540363,0.030311115,-0.545892404,0.035658804,0.020070004,-1.257330069,2.927631861,4.232492247,3.36566704,-0.176204516,0.5910843,-4.408696762,-2.77458274,4.18496193
1987Q3,4.321019053,0.005809866,-0.789899693,-0.202741651,-1.622643859,0.019196818,0.021180066,4.191528542,0.022012025,-0.461339203,0.029215191,0.021310378,-1.246600338,2.9495138,4.238302113,3.387679065,-0.160553676,0.611467136,-4.398855789,-2.776211929,4.196114138
1987Q4,4.333279277,0.005826077,-1.058666128,-0.271541562,-1.653789445,0.018708523,0.0214463,4.206613409,0.028134184,-0.641327393,0.031488738,0.021289262,-1.311220941,2.893514961,4.244128189,3.415813249,-0.232149275,0.59332523,-4.476277464,-2.822488019,4.204735902
1988Q1,4.339830383,0.007110257,-1.127305302,-0.28762169,-1.648773725,0.017008656,0.020119047,4.217988751,0.032709769,-0.703540264,0.03531978,0.020483752,-1.448981377,2.761696281,4.251238446,3.448523018,-0.247060903,0.598997394,-4.498299349,-2.849525624,4.210677658
1988Q2,4.348674493,0.007412723,-1.032736307,-0.264821763,-1.613378749,0.016512229,0.01987807,4.226524189,0.037031314,-0.661150391,0.03655876,0.020692793,-1.437607705,2.785628336,4.258651169,3.485554332,-0.229406634,0.610875277,-4.488057803,-2.874679054,4.22323604
1988Q3,4.360229118,0.008378929,-0.976190801,-0.170591822,-1.561434924,0.017930902,0.020289206,4.237954349,0.036680261,-0.64606718,0.042060711,0.021268631,-1.567168232,2.669309373,4.267030097,3.522234593,-0.140039329,0.676600091,-4.407069426,-2.845634502,4.236477604
1988Q4,4.370339027,0.008073003,-0.911337381,-0.218064813,-1.578320444,0.018963243,0.020149865,4.248792598,0.039985047,-0.634083476,0.046953901,0.020794119,-1.649040305,2.59773918,4.2751031,3.56221964,-0.189741198,0.675695787,-4.464844298,-2.886523853,4.246779485
1989Q1,4.38244331,0.01298403,-0.885533679,-0.188153969,-1.547341125,0.020909584,0.02109209,4.256050578,0.036911207,-0.563014131,0.04410832,0.020976631,-1.39788642,2.85991255,4.28808713,3.599130848,-0.15786581,0.700519033,-4.44595294,-2.898611815,4.257798971
1989Q2,4.388322495,0.011605704,-0.828705726,-0.141120987,-1.539695971,0.021790432,0.021555334,4.263758864,0.042545015,-0.51863433,0.054378136,0.021409622,-1.349151024,2.924952091,4.299692835,3.641675863,-0.115531268,0.766147731,-4.415224103,-2.875528132,4.274103115
1989Q3,4.394817545,0.007784865,-0.744194342,-0.148907104,-1.552994447,0.023013758,0.021543988,4.270220411,0.04555966,-0.435450248,0.053091658,0.020850797,-1.417862647,2.864293927,4.307477699,3.687235522,-0.123585979,0.809166291,-4.431063679,-2.878069231,4.282156574
1989Q4,4.405502003,0.009633525,-0.758003088,-0.19972804,-1.598656513,0.024698466,0.022768957,4.277736244,0.045239182,-0.456419804,0.063995183,0.021345721,-1.328355464,2.963381243,4.317111224,3.732474704,-0.174353523,0.83966647,-4.491464747,-2.892808234,4.291736707
1990Q1,4.420456887,0.012838874,-0.73497619,-0.262977939,-1.646469587,0.024815871,0.024455057,4.290150039,0.069497947,-0.485967617,0.075476315,0.022992877,-1.32059984,2.988204007,4.329950099,3.801972651,-0.241831688,0.876660452,-4.571781787,-2.925312199,4.308803848
1990Q2,4.425599894,0.008175485,-0.70784662,-0.276795828,-1.635387565,0.023948702,0.024677515,4.295150209,0.048645721,-0.505791692,0.037818858,0.023658326,-1.548821514,2.770085592,4.338125584,3.850618372,-0.25757735,0.890303003,-4.595702934,-2.960315369,4.318907106
1990Q3,4.433895828,0.010084761,-0.830640615,-0.322205143,-1.641187925,0.023824427,0.024919922,4.297319777,0.029732794,-0.56737043,0.041030472,0.023774185,-1.059008259,3.277018939,4.348210345,3.880351166,-0.310021995,0.863306751,-4.65823234,-3.017044416,4.336027198
1990Q4,4.438165139,0.01204763,-0.976408476,-0.370431816,-1.668460128,0.024643205,0.024962647,4.300020178,0.034161577,-0.686982807,0.043536591,0.023157681,-0.869744723,3.482367659,4.360257975,3.914512744,-0.362286223,0.860428674,-4.722544198,-3.054084069,4.352112382
1991Q1,4.445312688,0.004062227,-0.937153535,-0.346280582,-1.650179191,0.025292297,0.023910073,4.298570348,0.03078206,-0.61480824,0.038168101,0.021744485,-1.327759948,3.032546247,4.364320202,3.945294803,-0.342266574,0.888887218,-4.706586776,-3.056407585,4.360306195
1991Q2,4.451698572,0.009229487,-0.866330947,-0.228988401,-1.57925726,0.024173396,0.023981085,4.304856982,0.025764706,-0.543778568,0.032831842,0.021751581,-1.43289759,2.933324813,4.373549689,3.971059509,-0.221661115,0.955105965,-4.595210805,-3.015953544,4.366222403
1991Q3,4.455149036,0.013468215,-0.909749707,-0.225847547,-1.587749228,0.024114479,0.02422869,4.310609815,0.020064501,-0.537967791,0.035242162,0.021312155,-1.384512211,2.989546514,4.387017905,3.99112401,-0.212888367,0.978966967,-4.599906272,-3.012157043,4.374058725
1991Q4,4.459699776,0.012607867,-0.980854259,-0.295031061,-1.632632674,0.024564626,0.023714764,4.315249049,0.028300396,-0.563432793,0.042487036,0.02049385,-1.360678968,3.020912572,4.399625772,4.019424407,-0.276996829,0.97543448,-4.676622601,-3.043989927,4.38159154
1992Q1,4.470653318,0.012211573,-0.938999682,-0.305316241,-1.64078293,0.025187995,0.022908718,4.324342967,0.028165542,-0.539173867,0.039988546,0.020118026,-1.486798495,2.901787827,4.411837345,4.047589949,-0.282065219,0.994470315,-4.693902564,-3.053119634,4.388586323
1992Q2,4.467162019,0.009303269,-0.956176046,-0.31175104,-1.642248074,0.025437779,0.023182658,4.329037341,0.028868052,-0.548200632,0.037579117,0.020047438,-1.394846802,3.001880004,4.421140613,4.076458001,-0.287337233,1.010228229,-4.708477846,-3.066229772,4.396726806
1992Q3,4.46556389,0.00620863,-1.123000032,-0.396376965,-1.695656123,0.027924419,0.024104472,4.334847303,0.021608434,-0.614921334,0.040528564,0.019175044,-1.401856601,3.002707887,4.427349244,4.098066435,-0.37359221,0.992781105,-4.800941453,-3.10528533,4.404564488
1992Q4,4.462040424,0.006318657,-1.113440583,-0.298213911,-1.66009307,0.026233542,0.023024782,4.341736616,0.027619033,-0.585660663,0.037028286,0.018799545,-1.457420813,2.954215593,4.433667901,4.125685469,-0.276182417,1.075928221,-4.709850318,-3.049757247,4.411636406
1993Q1,4.453783764,0.014803861,-1.036806147,-0.234403679,-1.635767009,0.025162113,0.021472351,4.353532138,0.028104011,-0.530035264,0.035509649,0.017598288,-1.519001509,2.901055227,4.448471762,4.15378948,-0.205988653,1.135096074,-4.654460414,-3.018693405,4.420056735
1993Q2,4.45382075,0.008873516,-1.005029343,-0.245325332,-1.623129427,0.02199677,0.020484978,4.361915213,0.033492792,-0.497965553,0.036118417,0.016974947,-1.523914656,2.903799716,4.457345278,4.187282271,-0.215694427,1.137371994,-4.673039704,-3.049910277,4.427714372
1993Q3,4.457265245,0.007122533,-0.908765234,-0.19363702,-1.582728606,0.019883059,0.018295849,4.371068333,0.028688279,-0.451575047,0.03837372,0.015565859,-1.629084727,2.802551973,4.464467811,4.21597055,-0.160805911,1.173425435,-4.625273721,-3.042545115,4.431636701
1993Q4,4.461664703,0.005101589,-0.857022306,-0.178036945,-1.572812087,0.018046086,0.016742641,4.381830367,0.032519095,-0.389106637,0.039291505,0.014617248,-1.726035585,2.712484798,4.4695694,4.248489645,-0.146987928,1.204744404,-4.616557328,-3.043745241,4.438520383
